Review,Liked,review_len,is_synthetic
It or PERFECT for a sit-down family is meal get together with a few friends.,1,,1
If there were zero stars unity would give it zero stars.,0,,1
Awesome,1,,1
pizza enjoy their We and brunch.,1,,1
"we the mozzarella sticks, they were the best thing Lastly, ordered.",1,,1
How awful is that.,1,,1
The server was negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,,1
hamburger. NOT hard to make a decent It's,0,,1
bacon is hella salty.,1,,1
If are this please don't go,0,,1
We won't be going back anytime soon!,0,7.0,0
worst was salmon sashimi.,0,,1
Food great and was the serivce!,1,,1
This place was such a skillful surprise!,1,,1
"I think really, how do you flummox so famous for your fish and chips when it's so terrible!?!",0,,1
Service was fine and the waitress was friendly.,1,8.0,0
place is way too overpriced for mediocre food.,0,,1
Before I go in to why I gave a 1 star paygrade delight know that this was my tierce time rust at Bachi burger before writing a review.,0,,1
The nachos are a MUST HAVE!,1,6.0,0
and my mom and I got home she immediately got sick a she few had When only bites of salad.,0,,1
The vanilla ice cream was (choux) and smooth while the profiterole creamy pastry enough. fresh was,1,,1
I did not expect to be so good!,1,,1
"The faculty is constantly super friendly and helpful, which is especially cool when you bring deuce small boys and a baby!",1,,1
Tasted care dirt.,0,,1
staff is friendly the joint is clean.,1,,1
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,19.0,0
Gave up trying to rust any of the crust (teeth still sore).,0,,1
The selection on the menu was great and so were the prices.,1,12.0,0
Nicest formosan restaurant I've been in a while.,1,,1
"anytime to say, I won't be going back Needless soon.",0,,1
Mushroom. is a bit of a concern at Mellow Pricing,0,,1
They a toro that was and I liked the sliced wagyu white truffle.,1,,1
Boy was that,0,,1
"Sorry, I will not be getting nutrient from here anytime soon :(",0,,1
good!! Sooooo,1,,1
"The food was great as always, compliments to the chef.",1,10.0,0
The shrimp tender,1,,1
"On the ground, right to table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,,1
How is,1,,1
The nice. was also bartender,1,,1
"Also are like a fries, and for 23 which is a deal.",1,,1
Each day of the week they have a different deal and it's all so delicious!,1,15.0,0
"The only good thing was our waiter, was very helpful and the bloddy mary's",1,,1
"couple months later, I returned and had an amazing meal.",1,,1
I don't have be an accountant know I'm screwed!,0,,1
also!,1,,1
The shrimp tender and moist.,1,5.0,0
They know how to make them here.,1,7.0,0
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,14.0,0
got was really good and I Food full petty fast.,1,,1
"A couple of months later, I amazing and had an returned meal.",1,,1
Everyone is treated equally special.,1,5.0,0
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,18.0,0
Owner's are really great people.!,1,5.0,0
angstrom great way to finish a great.,1,,1
The were desserts a bit strange.,0,,1
By time our of the restaurant was empty so there was no excuse.,0,,1
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,18.0,0
"I had a salad with wings, and some ice cream for dessert and left feeling quite satisfied.",1,,1
This is a really Thai fantastic restaurant which is definitely worth a visit.,1,,1
selection on the menu was great and so were the prices.,1,,1
"However, my recent experience at this peculiar location was not so good.",0,,1
"Insults, profound deuchebaggery, and had go outside a smoke break while serving just to solidify it.",0,,1
The bus boy on the other hand was so rude.,0,10.0,0
Their rotating beers on tap is besides a highlight of this place.,1,,1
ambiance. Nice,1,,1
Talk about we customer service of course great will be back.,1,,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,18.0,0
Service is also cute.,1,4.0,0
Worst I've food/service had in a while.,0,,1
"And $20, the wrong. of us left there very full and for happy about considering you just can't go two",1,,1
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,21.0,0
The desserts were bit strange.,0,,1
Very filling meals.,1,,1
"We you'd have to venture further away to get good sushi, but place really hit the spot that night.",1,,1
It sure does bunk the nachos at the movies but I would expect a piffling bit more arrive from a restaurant.,0,,1
workers tables outside are also dirty are lot a the time and the The of not always friendly and helpful with the menu.,0,,1
I'm not instill with the concept or the food.,0,,1
Owner's are people.! great really,1,,1
"I don't know what the boastful flock is about this place, but I won't be back ""ya'all"".",0,,1
"with started this review I two stars, it I'm editing it to give but only one.",0,,1
say enough good things this place.,1,,1
It wasn't fussy at all and now we know why.,0,,1
Very good great atmosphere.1,1,,1
Nargile you I think - are great.,1,,1
I took back my and got outta there.,0,,1
We literally sat there for 20 minutes with no one take order.,0,,1
This is a good joint.,1,5.0,0
Pricing is a bit of a concern at melt Mushroom.,0,,1
Interesting decor.,1,2.0,0
"In the delightful. summer, can dine in a charming outdoor patio - so very you",1,,1
"hated her meal (coconut shrimp), our friends really not enjoy their meals, either.",0,,1
The ambiance isn't better. much,0,,1
We won't be going game anytime soon!,0,,1
If stay you in Vegas you must get breakfast here at least once.,1,,1
"It was either too cold, not sufficiency flavor or just bad.",0,,1
very slow at seating even with,0,,1
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,19.0,0
"The owner to work at Nobu, so this similar for half the price.",1,,1
The selection was probably was worst I've seen in Vegas.....there the none.,0,,1
"We thought you'd have this venture further away to get good sushi, spot to that really hit the but place night.",1,,1
one consider this theft.,0,,1
Highly,1,,1
"This place is not worth your time, let alone Vegas.",0,10.0,0
Hell no will I go back,0,6.0,0
outset time there and might just be the last.,0,,1
Just don't know they why were so slow.,0,,1
5 stars for the brick oven bread app!,1,8.0,0
service meh.,0,,1
Those were burgers amazing.,1,,1
I would avoid this place if you are staying in the Mirage.,0,12.0,0
"and hungry, leave happy Come stuffed!",1,,1
"Needless to say, I won't be going back anytime",0,,1
We the not believe how dirty could oysters were!,0,,1
Great Pizza Salads! and,1,,1
Ambience is perfect.,1,3.0,0
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,25.0,0
complaints! No,1,,1
"A mate of months later, I returned and had an amazing meal.",1,,1
The last 3 times I had luncheon here has been bad.,0,,1
Wow... Loved this,1,,1
"This isn't family restaurant, this is a dining",1,,1
Everything was perfect the night we were in.,1,8.0,0
Now I am getting angry and I want damn my pho.,0,,1
I had the chicken Pho and it tasted very bland.,0,10.0,0
are bathrooms The clean and the place itself is well decorated.,1,,1
food was delicious!,1,,1
"Everyone is very attentive, allow excellent customer service.",1,,1
I guess maybe we went on an off night but it was disgraceful.,0,13.0,0
My drink was never empty and menu made some really great he suggestions.,1,,1
is Service quick and friendly.,1,,1
"He extremely rude really, there so many other restaurants I would love to dine at during a in",0,,1
The and steak the shrimp best in my opinion the are entrees at GC.,1,,1
service was slow and not attentive.,0,,1
Hands down my favorite Italian restaurant!,1,6.0,0
"I probably won't be back, to be honest.",0,8.0,0
"However, there was so fondue, garlic in the much it was barely edible.",0,,1
I've lived here since and this the first (and last) time I've stepped foot into this,0,,1
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,21.0,0
I'm not sure how long we there but it was long enough for me to begin to feel awkwardly out of place.,0,,1
By this time our side of the eatery was almost abandon so there was no excuse.,0,,1
I will be many times soon.,1,,1
My salad had a flavorless vinegrette on the mollycoddle greens and hearts of Palm.,0,,1
good,1,,1
It was equally awful.,0,4.0,0
outflank fish I've ever had in my life!,1,,1
ace will continue to amount here on ladies night andddd date night ... extremely recommend this place to anyone who is in the area.,1,,1
The selections are good.,1,,1
ane won't be back.,0,,1
"Probably never fare back, and wouldn't recommend it.",0,,1
Overpriced what for you are getting.,0,,1
"It cold, not enough flavor or just",0,,1
"The dining place is tiny, but elegantly decorated and comfortable.",1,,1
"Lordy, the Khao dish that not to be missed for curry lovers!",1,,1
The Veggitarian platter is out of world! this,1,,1
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,14.0,0
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,27.0,0
"The only good matter was our waiter, he was very helpful and maintain the bloddy mary's coming.",1,,1
are to die for!,1,,1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,21.0,0
Check it out.,1,3.0,0
Just had lunch here had a great experience.,1,,1
moderately priced also!,1,,1
Always a great time at Dos Gringos!,1,7.0,0
moderately good beer selection too.,1,,1
nobelium complaints!,1,,1
The bathrooms are clean and the place itself is well decorated.,1,11.0,0
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,30.0,0
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,19.0,0
was Food really boring.,0,,1
Generous portions and great taste.,1,5.0,0
is awesome How that.,1,,1
"The ambiance here not like a setting, more of a douchey garden for tea and biscuits.",0,,1
Service was good and the companion was better!,1,,1
Horrible - don't emaciate your time and money.,0,,1
This place should aboveboard be blown up.,0,,1
solid had a seriously I breakfast here.,1,,1
"Went in for happy list great hour, of wines.",1,,1
Service here! stinks,0,,1
"I'd rather eat food, airline seriously.",0,,1
The staff was very attentive.,1,5.0,0
My boyfriend and I came here for the first meter on a late trip to Vegas and could not have been more delight with the quality of nutrient and service.,1,,1
Honeslty it didn't smack THAT fresh.),0,,1
"Went in for happy hour, great list of wines.",1,9.0,0
We delight their pizza and brunch.,1,,1
"Good service, very boot! and inexpensive, to clean,",1,,1
I will night to come here on ladies night andddd continue date ... this recommend highly place to anyone who is in the area.,1,,1
him both drastically sick.,0,,1
It'll be a regular stop on my trips to Phoenix!,1,10.0,0
All the bread is made,1,,1
i had the chicken Pho and it tasted very bland.,0,,1
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,22.0,0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,22.0,0
She ordered a came English muffin that toasted out untoasted.,0,,1
If there zero stars I would give it zero stars.,0,,1
"spinach also ordered the We and zero salad, the ingredients were sad and the dressing literally had avocado taste.",0,,1
The Buffet at Bellagio was far from what I anticipated.,0,10.0,0
The very good your bar food.,1,,1
The Buffet at Bellagio was far anticipated. what I from,0,,1
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,26.0,0
"besides there are combos like a burger, fries, and beer for 23 which is a nice deal.",1,,1
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,19.0,0
"I probably won't to back, be be honest.",0,,1
We expect for forty five minutes in vain.,0,,1
"The downtown is super nice and with quick crowds very the crazy even of the staff juries, lawyers, and court staff.",1,,1
I was seated immediately.,1,4.0,0
"I'm so happy to be here!!!""",1,6.0,0
stars. deserves 5 He,1,,1
It was a pale colouring instead of nice and blacken and has NO flavor.,0,,1
definitely will come back,1,,1
expectant Pizza and Salads!,1,,1
The turkey and roast beef were bland.,0,7.0,0
"This place is ilk Chipotle, but BETTER.",1,,1
each day of the hebdomad they have a different deal and it's all so delicious!,1,,1
"had much say about the place we walked in he expected it to be amazing, but was quickly disappointed.",0,,1
But now I out. completely grossed was,0,,1
DELICIOUS!!,1,1.0,0
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,8.0,0
howling service here.,1,,1
This is one of the better buff that I have been to.,1,,1
at Avoid all cost!,0,,1
"This place is not worth your time, rent alone Vegas.",0,,1
"be sushi lovers, let's REAL honest - Yama is not that good.",0,,1
TOLD NEVER EVER GO BACK AND HAVE WILL MANY PEOPLE WHAT HAD HAPPENED.,0,,1
Only Pros Large seating area/ Nice bar Great drink menu/ The BEST brick oven pizza with homemade dough!,1,,1
were waited for thirty minutes to be folks (although there We only vacant tables and we were the 8 seated waiting).,0,,1
This place lacked style!!,0,4.0,0
"Perhaps i caught them on an off dark judging by the other reviews, but I'm not inspired to xtc back.",0,,1
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,8.0,0
"After 20 minutes wait, I got a table.",0,8.0,0
We were promptly recognize and seated.,1,,1
"It lacked flavor, dry. undercooked, and seemed",0,,1
I had a pretty satifying experience.,1,6.0,0
i will not return.,0,,1
Their even toasted bread was equally gratify with the occasional pats of butter... Mmmm...!,1,,1
"the summer, can dine in charming outdoor patio - very delightful.",1,,1
Del Taco is pretty nasty and should be forefend if possible.,0,,1
I miss it and wish they had one in Philadelphia!,1,10.0,0
I want to first our was great and we had perfect service.,1,,1
I as well would've given godfathers stars zero if possible.,0,,1
I just wanted to leave.,0,5.0,0
"anytime I will not be getting food from here Sorry, soon :(",0,,1
Service also,1,,1
My first visit to Hiro was a delight!,1,8.0,0
Nicest while. restaurant I've been in a Chinese,1,,1
Terrible management.,0,2.0,0
The service terrible was though.,0,,1
"For a wildly proclaimed coffee cafe, I was self disappointed.",0,,1
-Drinks took minutes to 30 close to come out at one point.,0,,1
Worst tai ever.,0,,1
Def coming back to bowl next time,1,7.0,0
I think I'll be running back Carly's for,0,,1
I need to outset say our server was great and we had perfect service.,1,,1
We walked away stuffed and happy about our first Vegas buffet experience.,1,12.0,0
WAAAAAAyyyyyyyyyy over rated is am I all saying.,0,,1
The staff are also very friendly and efficient.,1,8.0,0
Great place fo take out or eat in.,1,8.0,0
Def coming back to roll next time,1,,1
We prescribe some old classics and some new stunner after die there a few times and were sorely disappointed with everything.,0,,1
"one was evidence dead wrong by this sushi bar, not only because the select is great, but the service is fast and the food, impeccable.",1,,1
good food is very The for your typical bar food.,1,,1
The selection was probably the worst I've seen in Vegas.....there was none.,0,12.0,0
"The sides are delish - mixed mushrooms, yukon gold puree, whitened clavus - beateous.",1,,1
I love the fact that on everything their menu is worth it.,1,,1
Best of luck to the rude and non-customer service focused new management.,0,12.0,0
We enjoy their pizza brunch.,1,,1
taste THAT,0,,1
think not again,0,,1
"I love the owner/chef, his one authentic Japanese cool dude!",1,10.0,0
"The leather. dishes are OK, the beef is like shoe chicken",0,,1
The restaurant atmosphere exquisite. was,1,,1
We had 7 our table the was pretty,1,,1
the presentation of the nutrient was awful.,0,,1
After the disappointing we went elsewhere for dessert.,0,,1
"Come hungry, leave happy and stuffed!",1,6.0,0
I don't we'll be going back anytime soon.,0,,1
"The service food terrible, was was mediocre.",0,,1
But I don't like it.,0,5.0,0
definitely will follow back here again.,1,,1
Nothing special.,0,2.0,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,23.0,0
"Third, the cheese on my friend's burger was cold.",0,9.0,0
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,16.0,0
"Back to good BBQ, barge fare, reasonable price and tell the public they are back to the old ways.",1,,1
did not like all.,0,,1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,19.0,0
"I live in the neighborhood I disappointed I be back here, because it is convenient location.",0,,1
"Every time I eat here, I witness caring teamwork to a professional degree.",1,,1
was staff The very attentive.,1,,1
This is one of the best bars with Vegas.,1,,1
"What did bother me, was the slow service.",0,8.0,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,27.0,0
"I been more than a few bars in Vegas, and do not recall being charged for tap water.",0,,1
love. boyfriend tried the Mediterranean Chicken Salad and fell in My,1,,1
The ambience is wonderful there and is music playing.,1,,1
five waited for forty We minutes in vain.,0,,1
complaints!,1,,1
The bathrooms are uncontaminating and the place itself is well decorated.,1,,1
Now this dish was quite flavourful.,1,6.0,0
We won't be back anytime soon!,0,,1
"REAL sushi lovers, let's be honest - Yama is not that good.",0,12.0,0
!....THE proprietor rattling rattling need to quit being soooooo cheap get them wrap my freaking sandwich in two papers not one!,0,,1
The seasonal fruit was fresh white peach puree.,1,8.0,0
My wife had the Bisque soup which was lukewarm.,0,,1
!....THE OWNERS REALLY REALLY not to quit being papers cheap let them wrap my two sandwich in freaking soooooo need one!,0,,1
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,21.0,0
No one at the table thought the food was average or worth the wait we had it.,0,,1
I've had better bagels grocery the from store.,0,,1
I chuck in the bathroom mid lunch.,0,,1
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,25.0,0
I waited. and waited,0,,1
you can watch them organise the delicious food!),1,,1
"and evening, him Same I are both drastically sick.",0,,1
iodin don't recommend unless your car split down in front of it and you are starving.,0,,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,20.0,0
But I definitely would not eat here again.,0,8.0,0
Spend time money and your some place else.,0,,1
"Anyway, breakfast/lunch. FS restaurant has a wonderful this",1,,1
What was next happened pretty....off putting.,0,,1
They have a really squeamish atmosphere.,1,,1
We loved the,1,,1
"Perfect for someone (me) likes cold, who beer ice only or in this case, even colder.",1,,1
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,18.0,0
"I had a salad with the wings, and some ice cream for sweet and left feeling rather satisfied.",1,,1
"was barely lukewarm, so it must have been sitting for the server bring it us.",0,,1
The ambiance incredible.,1,,1
Their daily specials are always a hit with my group.,1,10.0,0
back. going Never,0,,1
"unity have been in more than a few banish in Vegas, and do not ever callback being charged for tap water.",0,,1
"Very convenient, since we were staying at the MGM!",1,9.0,0
I got to enjoy the seafood with fabulous vinegrette.,1,,1
I will be soon. many times back,1,,1
The salad had just the amount of to not over power the which perfectly cooked.,1,,1
My bland had a salad vinegrette greens the baby on and hearts of Palm.,0,,1
Crostini that occur with the salad was stale.,0,,1
Crust is not good. ## $%,0,6.0,0
"After one bite, I was hooked.",1,6.0,0
spotty Con: service.,0,,1
"Cute, quaint, simple, honest.",1,4.0,0
helium deserves 5 stars.,1,,1
The Blah! Burrittos,0,,1
They cognise how to make them here.,1,,1
If you are reading this please don't go there.,0,9.0,0
fresh.) it didn't taste THAT Honeslty,0,,1
absolutely was It amazing.,1,,1
here is like experiencing an underwhelming relationship both parties can't wait for the other to ask to break up.,0,,1
it set up disapppointment with our entrees.,0,,1
We won't be returning.,0,4.0,0
entire WASTE OF TIME.,0,,1
"The chicken dishes are OK, the beef is like horseshoe leather.",0,,1
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,19.0,0
These are the nicest restaurant owners I've ever come,1,,1
My and and I came in the middle of the day greeted we were fiancé and seated right away.,1,,1
We watched our waiter pay a lot us. tables to other attention and ignore more,0,,1
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,16.0,0
"What did incommode me, was the slow service.",0,,1
"at I was very disappointed with the quality of food Overall, Bouchon.",0,,1
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,18.0,0
I guess went we maybe on an off night but it was disgraceful.,0,,1
If someone orders two tacos don't' you think it may be part customer service to ask if it is or ala cart?,0,,1
Food was so gooodd.,1,4.0,0
"Service is quick and even ""to go"" orders are just like we like it!",1,14.0,0
"Also, the fries had. without a doubt the worst fries I've ever are",0,,1
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,16.0,0
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,15.0,0
"The dining space is tiny, decorated elegantly but and comfortable.",1,,1
"It was ""crumby"" and pretty tasteless.",0,,1
"inward fact I'm going to attack up to 4 stars, just because she was so awesome.",1,,1
"If you love authentic Mexican and want whole bunch of interesting, yet delicious meats to choose from, need to try place.",1,,1
Eew... location needs a complete overhaul.,0,,1
walked in and the place smelled like an old grease trap there only 2 others eating. and,0,,1
The amazing! bartenders are absolutely flair,1,,1
nutrient quality has been horrible.,0,,1
Ordered an appetizer and consume forty minutes and then the pizza another 10 minutes.,0,,1
This is place amazing!,1,,1
I won't be back.,0,4.0,0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,26.0,0
it is worth the drive.,1,,1
"inwards the summer, you can dine in a charming outdoor terrace - so very delightful.",1,,1
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,26.0,0
special. Nothing,0,,1
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,17.0,0
Im in AZ all the time and have my new,1,,1
passing Tasty!,1,,1
"The rinse, area is nude so you can only shower not take a being shower, unless you don't mind full outside for everyone to see!",0,,1
Jamaican are delicious.,1,,1
The block was amazing.,1,4.0,0
I probably won't be coming back here.,0,7.0,0
Worst martini ever!,0,3.0,0
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,24.0,0
"Frozen pucks of disgust, with some of the register. people behind the worst",0,,1
Best of lot to the rude and non-customer service focused new management.,0,,1
We won't returning. be,0,,1
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,25.0,0
My first visit to a was Hiro delight!,1,,1
Food is way overpriced portions and are fucking small.,0,,1
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,17.0,0
Food was really boring.,0,4.0,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,20.0,0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,19.0,0
"(It wasn't busy either) Also, the building was freeze cold.",0,,1
The and shrimp are in my opinion the best entrees at GC.,1,,1
"I really do recommend this place, you can go improper with this sinker place!",1,,1
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,22.0,0
The was a little slow that were by 3 people servers so the food was coming a slow pace.,0,,1
"If is want to wait for mediocre food and downright terrible service, then the you this place for you.",0,,1
I probably won't be coming here. back,0,,1
"Similarly, a man delivery did not say the word of apology when our food was 45 minutes late.",0,,1
"Best Buffet in town, for the price you cannot beat it.",1,11.0,0
"They have a plethora of salads and sandwiches, and I've tried gets my seal of approval.",1,,1
"I could barely tum the meal, but didn't quetch because it was a business lunch.",0,,1
The cashier was friendly and even brought the food out to me.,1,12.0,0
away stuffed and happy about our first Vegas experience.,1,,1
"The staff are great. the ambiance is great,",1,,1
"tried have a plethora of salads and sandwiches, and everything I've approval. gets my seal of They",1,,1
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,15.0,0
"If you love authentic want need to Mexican a whole bunch of interesting, yet delicious meats to choose from, you food and try this place.",1,,1
The atmosphere is wonderful and there is music playing.,1,,1
"This place is a jewel in la Vegas, and exactly what I've been hoping to find in nearly ten days sustenance here.",1,,1
sucks. Service,0,,1
I'll take my occupation dinner dollars elsewhere.,0,,1
but the service was beyond bad.,0,,1
Food was delicious!,1,3.0,0
risky martini ever!,0,,1
"My buddy in law who wreak at the mall ate here same day, and guess what he was sick all nox too.",0,,1
"The avail was a little slow , considering that were served by 3 masses waiter so the food was coming in a slow pace.",0,,1
"Insults, profound deuchebaggery, and had to go serving solidify a smoke break while outside just to for it.",0,,1
"good, Both them were truly unbelievably of and I am so glad we went back.",1,,1
I left with a stomach ache and felt unbalanced the pillow of the day.,0,,1
It was a huge awkward 1.5lb piece of was 3/4ths gristle,0,,1
food was so gooodd.,1,,1
The ambience is wonderful and there is music playing.,1,9.0,0
